metric,mean_human,sem_human,mean_ai,sem_ai,t,p_raw,dz,n,p_adj,rejected,sig
word_count,956.6530000000001,6.927494674800388,947.1429999999999,6.822379740715889,0.9636453847523573,0.33995555300733715,0.1362800372435023,50,0.5860760435803701,False,
question_count,7.989,0.530185354573362,7.572,0.17787957403013666,0.8565584458522756,0.39585867227069316,0.12113565710895083,50,0.5860760435803701,False,
demir_modal_rate,0.012455876845458139,0.00021317309188477728,0.012078563228935656,0.00020231868749717613,1.307864141804701,0.197022232536957,0.1849599207081657,50,0.37762594569583424,False,
demir_verb_rate,0.01360050265968866,0.00019812403033610035,0.013103071900145029,0.00024624404399574255,1.3357633192667517,0.18779803736867876,0.18890546022275428,50,0.37762594569583424,False,
demir_adverb_rate,0.01003525323336842,0.00013759384315492347,0.009726416583639751,0.0001370803354785885,1.5657130359286666,0.12385183475910053,0.22142526101946736,50,0.37762594569583424,False,
demir_adjective_rate,0.0006163243091985601,3.983568978110742e-05,0.0006132235065793002,4.544933001959472e-05,0.04374477839195065,0.965285626669665,0.006186445888490213,50,0.9652856266696651,False,
demir_quantifier_rate,0.005154338370576542,0.00013974242200893902,0.0052813235531088,0.0001336502232087261,-0.5789494841114641,0.5652752880665821,-0.08187582123593393,50,0.6930201582891357,False,
demir_noun_rate,0.0011209801310822273,6.160752562144288e-05,0.0010398513629835452,6.104569122328397e-05,0.8351174617313084,0.40770507379504006,0.11810344405550105,50,0.5860760435803701,False,
demir_total_rate,0.04298327554937255,0.00038412234434196996,0.041842450135392076,0.00036841111514546263,1.9873865060105267,0.05248388279502665,0.2810588950477365,50,0.37762594569583424,False,
fung_interpersonal_rate,0.03665573101730027,0.0004151453238437373,0.035615660537456545,0.00041184238630994523,1.6441028109906723,0.1065567204285838,0.2325112493238738,50,0.37762594569583424,False,
fung_referential_rate,0.08058905967583227,0.00043388757767703966,0.07972537982360657,0.0004289718280827118,1.4537801391469767,0.15238265232078865,0.20559555894902998,50,0.37762594569583424,False,
fung_structural_rate,0.07576691701798796,0.00045915210884948964,0.0754961194798527,0.00046771912633948164,0.4143383452621791,0.6804346124222027,0.05859629072809998,50,0.7824998042855331,False,
fung_cognitive_rate,0.013786142136213072,0.00023946180614125054,0.01366664190950899,0.0002796584493419065,0.34336819148326236,0.7327904191046437,0.04855959532831515,50,0.8025799828288955,False,
fung_total_rate,0.11437561325554267,0.0006571202316389347,0.11259909530506229,0.0006059088668769374,1.9875044671118012,0.05247040159574534,0.281075577266662,50,0.37762594569583424,False,
nonfluency_rate,0.0014962746861706777,5.708963525043638e-05,0.001355363408619602,6.0359925106771294e-05,1.6252276143727766,0.11052972687439407,0.22984189341892514,50,0.37762594569583424,False,
liwc_filler_rate,0.0023989620851178873,9.588453314261857e-05,0.002318547755228626,9.507196246047559e-05,0.5700881212304096,0.571222758734351,0.08062263527918426,50,0.6930201582891357,False,
disfluency_rate,0.003895236771288566,0.00011787173557929947,0.003673911163848228,0.00011280201954453204,1.3285389400305636,0.19015449296407638,0.1878837787131999,50,0.37762594569583424,False,
like_rate,0.008136936177715732,0.00020080849828472334,0.008317726879009587,0.00023157318768395524,-0.5681985900945994,0.5724949133692859,-0.08035541522330533,50,0.6930201582891357,False,
tom_rate,0.00201793603222256,8.400654967869572e-05,0.0019090571345189325,7.931678862627959e-05,0.8777787677864944,0.3843475647967832,0.1241366638166804,50,0.5860760435803701,False,
politeness_rate,0.005254463738266236,0.000112987181300445,0.004991987621734886,0.00013060004699220996,1.5208384470003198,0.13472773420038547,0.21507903579262874,50,0.37762594569583424,False,
sentiment,0.9692512400000001,0.002448525677778949,0.96162786,0.002451530091306159,2.4905739717326845,0.01619187094142906,0.3522203488917788,50,0.3724130316528684,False,
quality,2.958,0.01072475678807055,2.9570000000000003,0.010001020356106935,0.0701791856772491,0.9443366785647132,0.009924835618106535,50,0.9652856266696651,False,
connectedness,3.031,0.01105551852225477,3.0589999999999997,0.010070162027758347,-1.7381242216835786,0.08847013836348518,-0.24580788473940965,50,0.37762594569583424,False,
