subject,trial,turn,partner_type,label,topic,sub_word_count,sub_ttr,sub_trigram_rep,sub_allcaps_ratio,sub_emoji_count,sub_self_ref_rate,sub_exclamation_rate,partner_word_count,partner_ttr,partner_trigram_rep,partner_allcaps_ratio,partner_emoji_count,partner_self_ref_rate,partner_exclamation_rate,reading_peak_confidence,reading_peak_layer,reading_peak_correct,reading_fixed_confidence,reading_fixed_layer,control_peak_confidence,control_peak_layer,control_peak_correct,control_fixed_confidence,control_fixed_layer
s001,1,1,ai,0,hobbies,113,0.7610619469026548,0.0,0.0,0,0.035398230088495575,0.008849557522123894,130,0.6923076923076923,0.0,0.0,0,0.015384615384615385,0.007692307692307693,0.46017906069755554,7,1,0.06140895187854767,33,0.49008598923683167,6,1,0.2916417419910431,33
s001,1,2,ai,0,hobbies,185,0.6108108108108108,0.00546448087431694,0.0,0,0.03783783783783784,0.005405405405405406,260,0.5423076923076923,0.08139534883720931,0.0,0,0.04230769230769231,0.007692307692307693,0.19237418472766876,14,1,0.00987082440406084,33,0.15087732672691345,15,1,0.012343225069344044,33
s001,1,3,ai,0,hobbies,246,0.6138211382113821,0.02459016393442623,0.02032520325203252,0,0.044715447154471545,0.02032520325203252,230,0.5826086956521739,0.039473684210526314,0.021739130434782608,0,0.0391304347826087,0.021739130434782608,0.05277164652943611,22,1,0.04511899873614311,33,0.22967451810836792,17,1,0.10135039687156677,33
s001,1,4,ai,0,hobbies,239,0.5690376569037657,0.06329113924050633,0.02092050209205021,0,0.029288702928870293,0.02092050209205021,200,0.605,0.03535353535353535,0.025,0,0.035,0.015,0.2624456584453583,35,1,0.26218998432159424,33,0.3498741686344147,15,1,0.34201034903526306,33
s001,1,5,ai,0,hobbies,233,0.5622317596566524,0.08225108225108226,0.02145922746781116,0,0.02575107296137339,0.012875536480686695,222,0.581081081081081,0.08181818181818182,0.02252252252252252,0,0.02702702702702703,0.013513513513513514,0.2052442580461502,33,1,0.2052442580461502,33,0.16009274125099182,31,1,0.1646210253238678,33
s001,2,1,human,1,nature,101,0.7722772277227723,0.0,0.0,0,0.019801980198019802,0.019801980198019802,93,0.7419354838709677,0.0,0.0,0,0.010752688172043012,0.010752688172043012,0.5375667810440063,7,1,0.9771625399589539,33,0.5059568285942078,6,1,0.7711671590805054,33
s001,2,2,human,1,nature,131,0.6412213740458015,0.007751937984496124,0.0,0,0.05343511450381679,0.015267175572519083,144,0.6180555555555556,0.0,0.0,0,0.05555555555555555,0.006944444444444444,0.9063584208488464,14,1,0.9890861511230469,33,0.7708095908164978,15,1,0.9449732899665833,33
s001,2,3,human,1,nature,112,0.7321428571428571,0.0,0.0,0,0.026785714285714284,0.008928571428571428,105,0.7523809523809524,0.019417475728155338,0.0,0,0.02857142857142857,0.009523809523809525,0.79929119348526,22,1,0.8793816566467285,33,0.6813090443611145,17,1,0.6397732496261597,33
s001,2,4,human,1,nature,117,0.6752136752136753,0.008695652173913044,0.0,0,0.06837606837606838,0.008547008547008548,141,0.6524822695035462,0.007194244604316547,0.0,0,0.0425531914893617,0.0070921985815602835,0.992664635181427,35,1,0.9940900206565857,33,0.6441395878791809,15,1,0.6939005851745605,33
s001,2,5,human,1,nature,155,0.6064516129032258,0.05228758169934641,0.0,0,0.025806451612903226,0.0064516129032258064,182,0.5494505494505495,0.03333333333333333,0.0,0,0.04945054945054945,0.005494505494505495,0.7088544368743896,33,1,0.7088544368743896,33,0.5658605098724365,31,1,0.794904351234436,33
